549,2834,12504,291,1844,1175,414,0.152,0.311,0.281,0.363,0.433,0.352,115,32.3,65.3,0
547,2148,9431,449,1517,1529,202,0.244,0.317,0.297,0.408,0.54,0.405,149,6.5,80.3,0
893,1908,7745,427,1048,1335,17,0.237,0.314,0.308,0.377,0.545,0.39,140,-21.3,63.6,0
1406,2494,10359,170,1571,980,807,0.131,0.312,0.294,0.385,0.425,0.361,125,100.2,66.3,0
1109,2976,12606,762,2227,1996,514,0.309,0.285,0.298,0.444,0.607,0.435,173,26,164.1,0
1086,2049,8678,309,1219,1262,49,0.204,0.335,0.312,0.418,0.515,0.405,147,-20.9,65.6,0
1013157,2267,9376,185,1231,1003,236,0.13,0.298,0.285,0.352,0.415,0.343,111,2.3,63.7,0
455,1970,8030,383,1355,1311,230,0.252,0.332,0.313,0.4,0.565,0.412,140,23.7,69,0
293,2455,10174,493,1349,1550,72,0.225,0.309,0.284,0.377,0.509,0.383,134,-5.9,57.2,0
1008559,1866,7660,583,1167,1414,12,0.325,0.255,0.263,0.394,0.588,0.415,157,-2.5,66.3,0
302,2340,9896,609,1475,1667,234,0.261,0.301,0.273,0.344,0.534,0.37,124,-5.4,60.4,0
1266,2822,12046,569,1663,1835,97,0.226,0.283,0.288,0.371,0.515,0.38,130,-12.1,70,0
255,2322,10075,521,1494,1704,32,0.254,0.304,0.301,0.419,0.555,0.416,154,-34.7,72.4,0
1119,2286,9537,377,1320,1518,94,0.21,0.311,0.29,0.356,0.5,0.367,123,-16.6,56.6,0
